Model_C1,Model_C4,match_key,N_B,Parameters,N_ratio,submission,Publication date,Confidence,Domain,Open model weights?,strict_open,type_group_raw,type_group,Hugging Face developer id,C4_key_unique,C1_key_unique,developer_id_available,developer_id_matches,source_identity_supported,N_consistent,date_consistent,language_domain,source_confident,weight_agreement,accepted_link,review_candidate,usable_compute,Training compute (FLOP),Training dataset size (total)
01-ai/Yi-1.5-34B,Yi-1.5-34B,yi1534b,34.389,34000000000.0,1.0114411764705882,2024-06-12,2024-05-13,Confident,Language,Yes,True,pretrained,pretrained,01-ai,True,False,True,True,True,True,True,True,True,True,True,True,True,7.344e+23,
01-ai/Yi-1.5-9B,Yi-1.5-9B,yi159b,8.829,8830000000.0,0.9998867497168743,2024-06-12,2024-05-13,Confident,Language,Yes,True,pretrained,pretrained,01-ai,True,True,True,True,True,True,True,True,True,True,True,True,True,1.90728e+23,
01-ai/Yi-34B,Yi-34B,yi34b,34.389,34000000000.0,1.0114411764705882,2024-06-12,2023-11-02,Confident,Language,Yes,True,pretrained,pretrained,01-ai,True,True,True,True,True,True,True,True,True,True,True,True,True,6.1e+23,3100000000000
01-ai/Yi-6B,Yi 6B,yi6b,6.061,6000000000.0,1.0101666666666667,2024-06-12,2023-11-02,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,1.26e+23,
AI-Sweden-Models/gpt-sw3-40b,gpt-sw3-40b,gptsw340b,39.927,40000000000.0,0.998175,2024-06-26,2023-03-01,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,7.68e+22,
AIDC-AI/Marco-o1,Marco-o1,marcoo1,7.616,7000000000.0,1.088,2025-01-31,2024-10-16,Confident,Language,Yes,True,posttrained,posttrained,AIDC-AI,True,True,True,True,True,True,True,True,True,True,True,False,False,,
CohereForAI/aya-expanse-32b,Aya Expanse 32B,ayaexpanse32b,32.296,32300000000.0,0.9998761609907121,2024-10-24,2024-10-24,Likely,Language,Yes,False,posttrained,posttrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,6.688684e+21,34513333333
CohereForAI/aya-expanse-8b,Aya Expanse 8B,ayaexpanse8b,8.028,8000000000.0,1.0035,2024-10-24,2024-10-24,Likely,Language,Yes,False,posttrained,posttrained,,True,False,False,False,False,True,True,True,True,True,False,False,False,1.65664e+21,34513333333
EleutherAI/gpt-j-6b,GPT-J-6B,gptj6b,6.0,6053381344.0,0.9911815659766899,2024-08-19,2021-05-01,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,True,1.5e+22,400000000000
EleutherAI/gpt-neo-1.3B,GPT-Neo-1.3B,gptneo13b,1.366,1300000000.0,1.0507692307692307,2024-06-12,2021-03-21,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,,
EleutherAI/gpt-neo-125m,GPT-Neo-125M,gptneo125m,0.15,125000000.0,1.2,2024-08-10,2021-03-21,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,,
EleutherAI/gpt-neo-2.7B,GPT-Neo-2.7B,gptneo27b,2.718,2700000000.0,1.0066666666666666,2024-06-12,2021-03-21,Confident,Language,Yes,True,pretrained,pretrained,EleutherAI,True,True,True,True,True,True,True,True,True,True,True,True,True,7.9e+21,420000000000
EleutherAI/gpt-neox-20b,GPT-NeoX-20B,gptneox20b,20.739,20000000000.0,1.03695,2024-06-09,2022-02-09,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,True,9.31627008e+22,341173367965
EleutherAI/pythia-1.4b,Pythia-1.4b,pythia14b,1.515,1400000000.0,1.082142857142857,2025-01-28,2023-04-03,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,True,2.5190000000001e+21,299892736000
EleutherAI/pythia-12b,Pythia-12b,pythia12b,12.0,12000000000.0,1.0,2024-06-12,2023-04-03,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,True,2.1590000000001e+22,299892736000
EleutherAI/pythia-160m,Pythia-160m,pythia160m,0.213,160000000.0,1.33125,2024-06-09,2023-04-03,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,False,True,True,True,True,False,False,False,2.87900000001e+20,299892736000
EleutherAI/pythia-1b,Pythia-1b,pythia1b,1.079,1000000000.0,1.079,2025-01-27,2023-04-03,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,True,1.799000000001e+21,299892736000
EleutherAI/pythia-2.8b,Pythia-2.8b,pythia28b,2.909,2800000000.0,1.0389285714285714,2024-06-12,2023-04-03,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,True,5.038000000001e+21,299892736000
EleutherAI/pythia-410m,Pythia-410m,pythia410m,0.506,410000000.0,1.2341463414634146,2024-06-09,2023-04-03,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,True,7.37700000001e+20,299892736000
EleutherAI/pythia-6.9b,Pythia-6.9b,pythia69b,6.9,6900000000.0,1.0,2024-06-12,2023-04-03,Confident,Language,Yes,True,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,True,1.2420000000001e+22,299892736000
HuggingFaceTB/SmolLM-1.7B,SmolLM-1.7B,smollm17b,1.71,1710000000.0,1.0,2024-07-18,2024-07-16,Confident,Language,Yes,True,pretrained,pretrained,HuggingFaceTB,True,True,True,True,True,True,True,True,True,True,True,True,True,1.03e+22,
MTSAIR/MultiVerse_70B,MultiVerse 70B,multiverse70b,72.289,72000000000.0,1.004013888888889,2024-06-29,2024-03-25,Confident,Language,Yes,False,posttrained,posttrained,MTSAIR,True,True,True,True,True,True,True,True,True,True,True,False,False,,
NYTK/PULI-GPTrio,PULI GPTrio,puligptrio,7.673,6700000000.0,1.145223880597015,2024-08-24,2023-08-23,Confident,Language,Yes,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,5.8e+21,230590476190
PrimeIntellect/INTELLECT-1,INTELLECT-1,intellect1,10.211,10000000000.0,1.0211,2024-11-29,2024-11-29,Confident,Language,,False,pretrained,pretrained,,True,True,False,False,True,True,True,True,True,True,True,False,False,6.000001e+22,1000000000000
Qwen/QwQ-32B,QwQ-32B,qwq32b,32.764,32500000000.0,1.0081230769230771,2025-03-11,2025-03-06,Speculative,Language,Yes,True,posttrained,posttrained,Qwen,True,True,True,True,True,True,True,True,False,True,False,False,False,3.51e+24,
Qwen/Qwen1.5-110B,Qwen1.5-110B,qwen15110b,111.21,110000000000.0,1.011,2024-06-13,2024-04-25,Confident,Language,Yes,False,pretrained,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,False,False,,
