domain,mapping_type,partial_corr_to_loss,q_method_a_inversion,q_method_b_semantic,q_combined
arxiv,direct/near_direct,0.9755559684520921,0.7819042123798114,0.7819042123798114,0.7819042123798114
freelaw,inferred,0.9726156417967894,0.40165653868939843,0.569,0.4853282693446992
nih_exporter,inferred,0.14302721435203752,0.7478623356572188,0.782,0.7649311678286095
pubmed_central,inferred,0.9765850881156422,0.4,0.782,0.591
wikipedia_en,direct/near_direct,0.9490418289929672,0.6215107447610511,0.6215107447610511,0.6215107447610511
dm_mathematics,inferred,0.6259525730690834,0.5463267872340342,0.782,0.664163393617017
github,direct/near_direct,0.9773753811300248,0.5768577193890864,0.5768577193890864,0.5768577193890864
philpapers,inferred,0.05116220873456734,0.7861996562261796,0.782,0.7840998281130898
stackexchange,direct/near_direct,0.9687247307668518,0.7145557992598962,0.7145557992598962,0.7145557992598962
enron_emails,inferred,0.018093422510329745,0.8,0.622,0.7110000000000001
gutenberg_pg_19,direct/near_direct,0.8576716644106528,0.5693637447993978,0.5693637447993978,0.5693637447993978
pile_cc,direct/near_direct,0.9769684641861902,0.7067081635779496,0.7067081635779496,0.7067081635779496
ubuntu_irc,inferred,0.424981874150899,0.6301963527732466,0.577,0.6035981763866233
europarl,inferred,0.361035577206915,0.6568825720649294,0.622,0.6394412860324648
hackernews,inferred,0.31457475797982665,0.6762717106017773,0.577,0.6266358553008886
pubmed_abstracts,inferred,0.9301664462251007,0.41937153699139446,0.782,0.6006857684956972
uspto_backgrounds,inferred,0.942693832036359,0.414143578831384,0.707,0.560571789415692
