scale,domain,centroid,ci_low,ci_high,n_top
train_1m,arxiv,0.06846570508606374,0.04448432790196898,0.09344744525099008,51
train_1m,freelaw,0.07511244056053189,0.05448594063748485,0.09934345480676658,51
train_1m,nih_exporter,0.007254753684840346,0.0039017950259825703,0.01131988123522441,51
train_1m,pubmed_central,0.11335500967025632,0.07128468578642057,0.15432934513195998,51
train_1m,wikipedia_en,0.08353895914041423,0.05300560160980668,0.11849525153431324,51
train_1m,dm_mathematics,0.044673369767654396,0.029623708193437886,0.05954246398264938,51
train_1m,github,0.06678923007199916,0.04716374762130097,0.09128268871361817,51
train_1m,philpapers,0.008354637887248958,0.004997707303734887,0.011790216555850205,51
train_1m,stackexchange,0.11138921811671645,0.07221265349019662,0.14442551388082964,51
train_1m,enron_emails,0.0033523754302220944,0.001980019732079734,0.0047059965500748134,51
train_1m,gutenberg_pg_19,0.07325029729696454,0.05027563535264716,0.09537824749880407,51
train_1m,pile_cc,0.10010948776107556,0.06289886819828441,0.13525834875446005,51
train_1m,ubuntu_irc,0.04820978589966694,0.0347227637597692,0.06140486457699422,51
train_1m,europarl,0.014017013106846155,0.00792876972152002,0.021454989042786525,51
train_1m,hackernews,0.01805480704554888,0.010940358093308945,0.02547546212907244,51
train_1m,pubmed_abstracts,0.10299187626226462,0.06598354873670317,0.14497281572658532,51
train_1m,uspto_backgrounds,0.06108103321168549,0.04023053624578592,0.09147432731034273,51
test_60m,arxiv,0.05920396381330705,0.034376667958178855,0.0862870149453513,25
test_60m,freelaw,0.09141897113673007,0.04436024769273201,0.14263471904647515,25
test_60m,nih_exporter,0.009603286477544666,0.00479571487242177,0.01601149480212371,25
test_60m,pubmed_central,0.08190895897859023,0.040373587011822414,0.1372904158069196,25
test_60m,wikipedia_en,0.07792009897101457,0.03042899788076728,0.12182442425637963,25
test_60m,dm_mathematics,0.05253391962043835,0.030821638360921024,0.07729370822260684,25
test_60m,github,0.059921129781489064,0.03474688898888899,0.09652099292951989,25
test_60m,philpapers,0.004319962278765629,0.001557488386351617,0.00752196937973086,25
test_60m,stackexchange,0.1486568015607626,0.11358475428564797,0.18811221603910647,25
test_60m,enron_emails,0.0025211214408819194,0.0010311636346965688,0.0042837960417840635,25
test_60m,gutenberg_pg_19,0.07405552583985518,0.04185625874601434,0.10887595471032886,25
test_60m,pile_cc,0.12818264356470732,0.06382243367901848,0.18798917994478007,25
test_60m,ubuntu_irc,0.03296769800148002,0.02152847083325246,0.04822321183400643,25
test_60m,europarl,0.011162812551322234,0.005078651249651249,0.020572760976013533,25
test_60m,hackernews,0.019797782136722463,0.010799003422537048,0.029919942719800877,25
test_60m,pubmed_abstracts,0.07592207332104403,0.032298453191794384,0.11414082154845158,25
test_60m,uspto_backgrounds,0.0699032505253445,0.035020442722634326,0.10217488700734205,25
test_1B,arxiv,0.046863956309638084,0.027815221436043914,0.06863511394981311,6
test_1B,freelaw,0.05535832627912596,0.03613042187133783,0.07818078624782032,6
test_1B,nih_exporter,0.0008336673346693387,0.0,0.002,6
test_1B,pubmed_central,0.1532000260222153,0.08432055972646135,0.2323205114402709,6
test_1B,wikipedia_en,0.052965481907881674,0.025263655449426988,0.08997339983665631,6
test_1B,dm_mathematics,0.028689409788608188,0.003002338009352037,0.0628827667739742,6
test_1B,github,0.0879933015336457,0.06416000389001557,0.11066763471998944,6
test_1B,philpapers,0.0,0.0,0.0,6
test_1B,stackexchange,0.0824437758370414,0.04246721547925152,0.13246025635451195,6
test_1B,enron_emails,0.0,0.0,0.0,6
test_1B,gutenberg_pg_19,0.09822657157295296,0.03444870212814184,0.16218782741797633,6
test_1B,pile_cc,0.21145075090989673,0.12692610513898597,0.2934026496382709,6
test_1B,ubuntu_irc,0.05019061366022354,0.014192713120852483,0.08490852420785643,6
test_1B,europarl,0.020538079155313627,0.0,0.05861723446893788,6
test_1B,hackernews,0.011327034647465928,0.004325420863371764,0.02032073596159852,6
test_1B,pubmed_abstracts,0.07673861696046184,0.008312854363405465,0.19172645996168403,6
test_1B,uspto_backgrounds,0.02318038808085968,0.00566144217910205,0.04552528621175091,6
est_10b,arxiv,0.19689586356253022,0.0,0.4515484515484515,6
est_10b,freelaw,0.26001722227507124,0.003996003996003995,0.574998870590053,6
est_10b,nih_exporter,0.019515209227968077,0.005994005994005995,0.03222442161987921,6
est_10b,pubmed_central,0.25597368510795365,0.02237808951235805,0.5319736851079536,6
est_10b,wikipedia_en,0.09190959241159641,0.000334001336005344,0.27423097329357343,6
est_10b,dm_mathematics,0.000999000999000999,0.0,0.002331002331002331,6
est_10b,github,0.0,0.0,0.0,6
est_10b,philpapers,0.002504009017035069,0.0001665001665001665,0.00684602638510454,6
est_10b,stackexchange,0.010162177830848504,0.000334001336005344,0.022477522477522476,6
est_10b,enron_emails,0.000333000333000333,0.0,0.000999000999000999,6
est_10b,gutenberg_pg_19,0.02872361439495708,0.0,0.0858378428518709,6
est_10b,pile_cc,0.00550383883717217,0.0,0.014034826534826537,6
est_10b,ubuntu_irc,0.0028305028305028305,0.0,0.008491508491508492,6
est_10b,europarl,0.0006663339996673328,0.0,0.0016695058361725034,6
est_10b,hackernews,0.005328005328005328,0.0,0.015984015984015984,6
est_10b,pubmed_abstracts,0.05253104440445789,0.007847861221274715,0.1077257390991526,6
est_10b,uspto_backgrounds,0.06610689944023278,0.0,0.19206027122693792,6
est_70b,arxiv,0.19689586356253022,0.0,0.49792816459483125,6
est_70b,freelaw,0.26001722227507124,0.003996003996003995,0.5797843234883985,6
est_70b,nih_exporter,0.019515209227968077,0.006318681318681319,0.034724437196047085,6
est_70b,pubmed_central,0.25597368510795365,0.02181863727454911,0.5095955955955955,6
est_70b,wikipedia_en,0.09190959241159641,0.000334001336005344,0.2732267732267732,6
est_70b,dm_mathematics,0.000999000999000999,0.0,0.002331002331002331,6
est_70b,github,0.0,0.0,0.0,6
est_70b,philpapers,0.002504009017035069,0.0001665001665001665,0.006683688722766879,6
est_70b,stackexchange,0.010162177830848504,0.000334001336005344,0.02515554284926362,6
est_70b,enron_emails,0.000333000333000333,0.0,0.000999000999000999,6
est_70b,gutenberg_pg_19,0.02872361439495708,0.0,0.0858378428518709,6
est_70b,pile_cc,0.00550383883717217,0.0,0.014846514846514844,6
est_70b,ubuntu_irc,0.0028305028305028305,0.0,0.008491508491508492,6
est_70b,europarl,0.0006663339996673328,0.0,0.0015036473369806711,6
est_70b,hackernews,0.005328005328005328,0.0,0.015984015984015984,6
est_70b,pubmed_abstracts,0.052531044404457904,0.007710056415801241,0.10101651651651651,6
est_70b,uspto_backgrounds,0.06610689944023278,0.0,0.1888904347237681,6
