dataset,pair,count,share_among_high_conflict
A1_sample,语言表达—结构丰富,2412,0.4708178801483506
A1_sample,语言表达—洁净规范,1694,0.33066562560999413
A1_sample,知识价值—洁净规范,883,0.1723599453445247
A1_sample,知识价值—结构丰富,85,0.016591840718329105
A1_sample,知识价值—语言表达,49,0.009564708178801484
A2_arxiv,语言表达—结构丰富,193,0.5012987012987012
A2_arxiv,知识价值—语言表达,191,0.4961038961038961
A2_arxiv,知识价值—洁净规范,1,0.0025974025974025974
A3_github,语言表达—结构丰富,2511,0.5488524590163935
A3_github,语言表达—洁净规范,1456,0.3182513661202186
A3_github,知识价值—语言表达,466,0.10185792349726776
A3_github,知识价值—洁净规范,115,0.025136612021857924
A3_github,知识价值—结构丰富,17,0.003715846994535519
A3_github,洁净规范—结构丰富,10,0.002185792349726776
