Model_C1,Model_C4,Organization,Hugging Face developer id,N_B,Parameters,Parameters notes,N_ratio,submission,Publication date,Training compute (FLOP),Training compute notes,Training compute estimation method,Base model,Foundation model,Confidence,Open model weights?,Reference,Link,automated_rule_status,manual_review_status,repository_revision_evidence,version_identity_review,training_stage_review,compute_source_review,historical_open_status_review,reviewer_notes,owner_id_missing
EleutherAI/gpt-j-6b,GPT-J-6B,"EleutherAI,LAION",,6.0,6053381344.0,source: model details table in GitHub,0.9911815659766899,2024-08-19,2021-05-01,1.5e+22,source: zero shot evaluation table in GitHub,Reported,,,Confident,Yes,GPT-J-6B: 6B JAX-Based Transformer,https://arankomatsuzaki.wordpress.com/2021/06/04/gpt-j/,passed,pending_checkpoint_and_training_telemetry_check,,,,,,,True
EleutherAI/gpt-neox-20b,GPT-NeoX-20B,EleutherAI,,20.739,20000000000.0,,1.03695,2024-06-09,2022-02-09,9.31627008e+22,Trained for 3 months on 96 A100s (according to correspondence with author). Let's say 0.4 utilization rate.,Hardware,,,Confident,Yes,GPT-NeoX-20B: An Open-Source Autoregressive Language Model,https://arxiv.org/abs/2204.06745,passed,pending_checkpoint_and_training_telemetry_check,,,,,,,True
EleutherAI/pythia-1.4b,Pythia-1.4b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",,1.515,1400000000.0,See Table 1 for non-embedding parameters,1.082142857142857,2025-01-28,2023-04-03,2.5190000000001e+21,https://www.wolframalpha.com/input?i=6+FLOP+*+1.4+billion+*+299892736000,Operation counting,,,Confident,Yes,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,https://arxiv.org/abs/2304.01373,passed,pending_checkpoint_and_training_telemetry_check,,,,,,,True
EleutherAI/pythia-12b,Pythia-12b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",,12.0,12000000000.0,See Table 1 for non-embedding parameters,1.0,2024-06-12,2023-04-03,2.1590000000001e+22,https://www.wolframalpha.com/input?i=6+FLOP+*+12+billion+*+299892736000,Operation counting,,,Confident,Yes,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,https://arxiv.org/abs/2304.01373,passed,pending_checkpoint_and_training_telemetry_check,,,,,,,True
EleutherAI/pythia-1b,Pythia-1b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",,1.079,1000000000.0,See Table 1 for non-embedding parameters,1.079,2025-01-27,2023-04-03,1.799000000001e+21,https://www.wolframalpha.com/input?i=6+FLOP+*+1+billion+*+299892736000,Operation counting,,,Confident,Yes,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,https://arxiv.org/abs/2304.01373,passed,pending_checkpoint_and_training_telemetry_check,,,,,,,True
EleutherAI/pythia-2.8b,Pythia-2.8b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",,2.909,2800000000.0,See Table 1 for non-embedding parameters,1.0389285714285714,2024-06-12,2023-04-03,5.038000000001e+21,https://www.wolframalpha.com/input?i=6+FLOP+*+2.8+billion+*+299892736000,Operation counting,,,Confident,Yes,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,https://arxiv.org/abs/2304.01373,passed,pending_checkpoint_and_training_telemetry_check,,,,,,,True
EleutherAI/pythia-410m,Pythia-410m,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",,0.506,410000000.0,See Table 1 for non-embedding parameters,1.2341463414634146,2024-06-09,2023-04-03,7.37700000001e+20,https://www.wolframalpha.com/input?i=6+FLOP+*+410+million+*+299892736000,Operation counting,,,Confident,Yes,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,https://arxiv.org/abs/2304.01373,passed,pending_checkpoint_and_training_telemetry_check,,,,,,,True
EleutherAI/pythia-6.9b,Pythia-6.9b,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",,6.9,6900000000.0,See Table 1 for non-embedding parameters,1.0,2024-06-12,2023-04-03,1.2420000000001e+22,https://www.wolframalpha.com/input?i=6+FLOP+*+6.9+billion+*+299892736000,Operation counting,,,Confident,Yes,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,https://arxiv.org/abs/2304.01373,passed,pending_checkpoint_and_training_telemetry_check,,,,,,,True
microsoft/phi-1_5,Phi-1.5,Microsoft,,1.418,1300000000.0,,1.0907692307692307,2024-06-09,2023-09-11,1.17e+21,"150B training tokens

150B*1.3B*6 = 1.17e21

also, took 1.5k GPU-hours with A100s, per Table 1

1500 * 312 trillion * 3600 * 0.3 (utilization assumption) = 5.05e20

so utilization was likely ~60%. may be high due to the relatively small cluster.
","Operation counting,Hardware",,True,Confident,Yes,Textbooks Are All You Need II: phi-1.5 technical report,"https://arxiv.org/abs/2309.05463, https://huggingface.co/microsoft/phi-1_5",passed,pending_checkpoint_and_training_telemetry_check,,,,,,,True
microsoft/phi-2,Phi-2,Microsoft,,2.78,2700000000.0,2.7B,1.0296296296296297,2024-06-09,2023-12-12,2.27e+22,"2.7B params, trained on 1.4T tokens

2.7 billion * 1.4 trillion * 6 = 2.27e22

96*14 A100-days

14 * 96 * 312 trillion * 24 * 3600 * 0.3 = 1.09e22","Operation counting,Hardware",,,Confident,Yes,Phi-2: The surprising power of small language models,"https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/
https://huggingface.co/microsoft/phi-2",passed,pending_checkpoint_and_training_telemetry_check,,,,,,,True
