Model_C1,Model_C4,match_key,N_B,Parameters,N_ratio,submission,Publication date,Confidence,Domain,Open model weights?,strict_open,type_group,Hugging Face developer id,C4_key_unique,C1_key_unique,developer_id_available,developer_id_matches,source_identity_supported,N_consistent,date_consistent,language_domain,source_confident,weight_agreement,accepted_link,usable_compute,Training compute (FLOP),Training dataset size (total)
01-ai/Yi-1.5-34B,Yi-1.5-34B,yi1534b,34.389,34000000000.0,1.0114411764705882,2024-06-12,2024-05-13,Confident,Language,Yes,True,pretrained,01-ai,True,False,True,True,True,True,True,True,True,True,True,True,7.344e+23,
01-ai/Yi-1.5-9B,Yi-1.5-9B,yi159b,8.829,8830000000.0,0.9998867497168743,2024-06-12,2024-05-13,Confident,Language,Yes,True,pretrained,01-ai,True,True,True,True,True,True,True,True,True,True,True,True,1.90728e+23,
01-ai/Yi-34B,Yi-34B,yi34b,34.389,34000000000.0,1.0114411764705882,2024-06-12,2023-11-02,Confident,Language,Yes,True,pretrained,01-ai,True,True,True,True,True,True,True,True,True,True,True,True,6.1e+23,3100000000000
EleutherAI/gpt-j-6b,GPT-J-6B,gptj6b,6.0,6053381344.0,0.9911815659766899,2024-08-19,2021-05-01,Confident,Language,Yes,True,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,1.5e+22,400000000000
EleutherAI/gpt-neo-2.7B,GPT-Neo-2.7B,gptneo27b,2.718,2700000000.0,1.0066666666666666,2024-06-12,2021-03-21,Confident,Language,Yes,True,pretrained,EleutherAI,True,True,True,True,True,True,True,True,True,True,True,True,7.9e+21,420000000000
EleutherAI/gpt-neox-20b,GPT-NeoX-20B,gptneox20b,20.739,20000000000.0,1.03695,2024-06-09,2022-02-09,Confident,Language,Yes,True,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,9.31627008e+22,341173367965
EleutherAI/pythia-1.4b,Pythia-1.4b,pythia14b,1.515,1400000000.0,1.082142857142857,2025-01-28,2023-04-03,Confident,Language,Yes,True,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,2.5190000000001e+21,299892736000
EleutherAI/pythia-12b,Pythia-12b,pythia12b,12.0,12000000000.0,1.0,2024-06-12,2023-04-03,Confident,Language,Yes,True,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,2.1590000000001e+22,299892736000
EleutherAI/pythia-1b,Pythia-1b,pythia1b,1.079,1000000000.0,1.079,2025-01-27,2023-04-03,Confident,Language,Yes,True,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,1.799000000001e+21,299892736000
EleutherAI/pythia-2.8b,Pythia-2.8b,pythia28b,2.909,2800000000.0,1.0389285714285714,2024-06-12,2023-04-03,Confident,Language,Yes,True,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,5.038000000001e+21,299892736000
EleutherAI/pythia-410m,Pythia-410m,pythia410m,0.506,410000000.0,1.2341463414634146,2024-06-09,2023-04-03,Confident,Language,Yes,True,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,7.37700000001e+20,299892736000
EleutherAI/pythia-6.9b,Pythia-6.9b,pythia69b,6.9,6900000000.0,1.0,2024-06-12,2023-04-03,Confident,Language,Yes,True,pretrained,,True,True,False,False,True,True,True,True,True,True,True,True,1.2420000000001e+22,299892736000
HuggingFaceTB/SmolLM-1.7B,SmolLM-1.7B,smollm17b,1.71,1710000000.0,1.0,2024-07-18,2024-07-16,Confident,Language,Yes,True,pretrained,HuggingFaceTB,True,True,True,True,True,True,True,True,True,True,True,True,1.03e+22,
Qwen/Qwen2-0.5B,Qwen2-0.5B,qwen205b,0.494,500000000.0,0.988,2024-11-30,2024-06-07,Confident,Language,Yes,True,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,3.6e+22,12000000000000
Qwen/Qwen2-1.5B,Qwen2-1.5B,qwen215b,1.544,1500000000.0,1.0293333333333334,2024-06-09,2024-06-07,Confident,Language,Yes,True,pretrained,Qwen,True,True,True,True,True,True,True,True,True,True,True,True,6.3e+22,7000000000000
