Model_C1,Model_C4,Training compute (FLOP),Training compute estimation method,Link,source_review_status,primary_evidence_url,evidence_observation,source_derived_flops,source_vs_c4_relative_difference,review_scope
EleutherAI/gpt-j-6b,GPT-J-6B,1.5e+22,Reported,https://arankomatsuzaki.wordpress.com/2021/06/04/gpt-j/,insufficient_evidence,https://arankomatsuzaki.wordpress.com/2021/06/04/gpt-j/,"Developer reports 400B tokens, but the cited page does not directly report C4's exact 1.5e22 FLOPs; C4 labels it Reported.",,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
EleutherAI/gpt-neox-20b,GPT-NeoX-20B,9.31627008e+22,Hardware,https://arxiv.org/abs/2204.06745,insufficient_evidence,https://arxiv.org/html/2204.06745,"Paper describes training hardware and throughput; C4 uses correspondence plus an assumed 0.4 utilization, not a directly reported 9.316e22 FLOPs.",,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
EleutherAI/pythia-1.4b,Pythia-1.4b,2.5190000000001e+21,Operation counting,https://arxiv.org/abs/2304.01373,source_supported_estimate,https://arxiv.org/html/2304.01373,"Paper reports 299,892,736,000 training tokens for the released Pythia suite; C4 uses 6 x rounded size x tokens, an approximation, not measured FLOPs.",2.5190989824e+21,3.929277912129537e-05,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
EleutherAI/pythia-12b,Pythia-12b,2.1590000000001e+22,Operation counting,https://arxiv.org/abs/2304.01373,source_supported_estimate,https://arxiv.org/html/2304.01373,"Paper reports 299,892,736,000 training tokens for the released Pythia suite; C4 uses 6 x rounded size x tokens, an approximation, not measured FLOPs.",2.1592276992e+22,0.00010545400097649572,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
EleutherAI/pythia-1b,Pythia-1b,1.799000000001e+21,Operation counting,https://arxiv.org/abs/2304.01373,source_supported_estimate,https://arxiv.org/html/2304.01373,"Paper reports 299,892,736,000 training tokens for the released Pythia suite; C4 uses 6 x rounded size x tokens, an approximation, not measured FLOPs.",1.799356416e+21,0.00019807971107371796,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
EleutherAI/pythia-2.8b,Pythia-2.8b,5.038000000001e+21,Operation counting,https://arxiv.org/abs/2304.01373,source_supported_estimate,https://arxiv.org/html/2304.01373,"Paper reports 299,892,736,000 training tokens for the released Pythia suite; C4 uses 6 x rounded size x tokens, an approximation, not measured FLOPs.",5.0381979648e+21,3.9292778962495834e-05,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
EleutherAI/pythia-410m,Pythia-410m,7.37700000001e+20,Operation counting,https://arxiv.org/abs/2304.01373,source_supported_estimate,https://arxiv.org/html/2304.01373,"Paper reports 299,892,736,000 training tokens for the released Pythia suite; C4 uses 6 x rounded size x tokens, an approximation, not measured FLOPs.",7.3773613056e+20,4.897490783408664e-05,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
EleutherAI/pythia-6.9b,Pythia-6.9b,1.2420000000001e+22,Operation counting,https://arxiv.org/abs/2304.01373,source_supported_estimate,https://arxiv.org/html/2304.01373,"Paper reports 299,892,736,000 training tokens for the released Pythia suite; C4 uses 6 x rounded size x tokens, an approximation, not measured FLOPs.",1.24155592704e+22,0.00035767455209097666,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
microsoft/phi-1_5,Phi-1.5,1.17e+21,"Operation counting,Hardware","https://arxiv.org/abs/2309.05463, https://huggingface.co/microsoft/phi-1_5",source_supported_estimate,https://huggingface.co/microsoft/phi-1_5,"Official base-model card reports 150B training tokens; C4 uses 6 x 1.3B x 150B, not a measured FLOP count.",1.17e+21,0.0,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
microsoft/phi-2,Phi-2,2.27e+22,"Operation counting,Hardware","https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/
https://huggingface.co/microsoft/phi-2",source_supported_estimate,https://huggingface.co/microsoft/phi-2,"Official base-model card reports 1.4T training tokens; C4 uses 6 x 2.7B x 1.4T, not a measured FLOP count.",2.268e+22,0.0008818342151675022,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
tiiuae/falcon-40b,Falcon-40B,2.4e+23,"Operation counting,Reported",https://arxiv.org/abs/2311.16867; https://www.tii.ae/news/abu-dhabi-based-technology-innovation-institute-introduces-falcon-llm-foundational-large,source_supported_estimate,https://arxiv.org/html/2311.16867,"Author Table 1 reports 2,800 PF-days and 1,000B tokens; C4's 2.4e23 FLOPs approximates the 2.4192e23 PF-day conversion.",2.4192e+23,0.007936507936507936,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
togethercomputer/RedPajama-INCITE-7B-Base,RedPajama-INCITE-7B-Base,4.1e+22,Operation counting,https://huggingface.co/togethercomputer/RedPajama-INCITE-7B-Base,source_supported_estimate,https://huggingface.co/togethercomputer/RedPajama-INCITE-7B-Base,Official base-model card reports 1.001T training tokens; C4 estimates about 6 x 6.9B x 1.001T.,4.14414e+22,0.010651184564228075,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
01-ai/Yi-1.5-34B,Yi-1.5-34B,7.344e+23,Operation counting,https://huggingface.co/01-ai/Yi-1.5-34B,not_comparable,https://huggingface.co/01-ai/Yi-1.5-34B,Official card says Yi-1.5 continues training from Yi for 500B tokens; C4 applies 3.6T cumulative tokens as if all training belonged to this stage.,,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
01-ai/Yi-1.5-9B,Yi-1.5-9B,1.90728e+23,Operation counting,https://huggingface.co/01-ai/Yi-1.5-9B,not_comparable,https://huggingface.co/01-ai/Yi-1.5-9B,Official card says Yi-1.5 continues training from Yi for 500B tokens; C4 applies 3.6T cumulative tokens as if all training belonged to this stage.,,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
01-ai/Yi-34B,Yi-34B,6.1e+23,Operation counting,https://arxiv.org/abs/2403.04652,insufficient_evidence,https://arxiv.org/abs/2403.04652,C4 itself questions whether the approximately 3T tokens are dataset size or tokens actually seen; estimate remains uncertain.,,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
EleutherAI/gpt-neo-2.7B,GPT-Neo-2.7B,7.9e+21,"Third-party estimation,Operation counting",https://github.com/EleutherAI/gpt-neo,insufficient_evidence,https://github.com/EleutherAI/gpt-neo,"C4 cites a third-party 7.9e21 estimate, while its own 6ND calculation is 6.804e21; numerical discrepancy unresolved.",,,source-page and C4-note audit; no checkpoint hash or measured-run telemetry
