domain,pair,count,share_among_domain_high_conflict,dominant_orientation,orientation_share,mean_group_gap,high_group_mean,low_group_mean,high_driver_metric,high_driver_score,low_driver_metric,low_driver_score
arxiv,语言表达—结构丰富,25,0.625,语言表达高—结构丰富低,1.0,0.5277916766556201,0.9712474628967591,0.4434557862411389,modernbert_professionalism,0.999979013185658,rps_doc_frac_unique_words,0.08311873253691764
arxiv,知识价值—语言表达,15,0.375,语言表达高—知识价值低,1.0,0.5076137821544805,0.9266983082247066,0.41908452607022595,modernbert_professionalism,0.999985114417143,dsir_books,0.0023585505987724514
book,知识价值—洁净规范,16,0.8421052631578947,洁净规范高—知识价值低,1.0,0.5529392427668115,0.7673535795752917,0.21441433680848015,rps_doc_frac_chars_top_3gram,0.9932093826238318,dsir_math,0.0
book,知识价值—语言表达,2,0.10526315789473684,语言表达高—知识价值低,1.0,0.5216181226684722,0.9477476878325888,0.42612956516411654,modernbert_professionalism,0.9707394741747262,dsir_math,0.0
book,语言表达—结构丰富,1,0.05263157894736842,结构丰富高—语言表达低,1.0,0.5287268405051428,0.8459805759265326,0.3172537354213898,rps_doc_word_count,0.9658567890209436,modernbert_professionalism,0.0023213405210355076
c4,语言表达—洁净规范,1403,0.4878303198887344,洁净规范高—语言表达低,1.0,0.5852060449082965,0.8780263932245237,0.29282034831622705,rps_lines_ending_with_terminal_punctution_mark,1.0,modernbert_professionalism,0.08284502781795897
c4,知识价值—洁净规范,715,0.24860917941585536,洁净规范高—知识价值低,1.0,0.5013492558551708,0.9200886852068616,0.41873942935169073,rps_lines_ending_with_terminal_punctution_mark,1.0,fineweb_edu,0.12541369188306126
c4,语言表达—结构丰富,709,0.24652294853963838,结构丰富高—语言表达低,1.0,0.6451479955245228,0.78910486092176,0.14395686539723707,rps_doc_mean_word_length,0.9666967023752624,modernbert_professionalism,0.06085769947354023
c4,知识价值—结构丰富,48,0.016689847009735744,结构丰富高—知识价值低,1.0,0.4609297559797841,0.8172695156834492,0.356339759703665,rps_doc_mean_word_length,0.9771841573331411,fineweb_edu,0.06572865990226041
c4,知识价值—语言表达,1,0.0003477051460361613,语言表达高—知识价值低,1.0,0.42635284403257634,0.9778023670242993,0.551449522991723,modernbert_professionalism,0.9919869457460297,dsir_math,0.272624462195508
commoncrawl,语言表达—结构丰富,425,0.573549257759784,结构丰富高—语言表达低,0.9976470588235294,0.56533597706068,0.8114033710243896,0.24606739396370975,rps_doc_mean_word_length,0.9698571194928588,modernbert_professionalism,0.11267571074507489
commoncrawl,知识价值—洁净规范,144,0.19433198380566802,洁净规范高—知识价值低,1.0,0.48716555385282967,0.8959173885587687,0.4087518347059392,ad_en,0.9736829396407671,qurater,0.1542527967790014
commoncrawl,语言表达—洁净规范,133,0.1794871794871795,洁净规范高—语言表达低,1.0,0.5379251204494234,0.8227795999292309,0.28485447947980747,rps_doc_frac_no_alph_words,0.9337652628517924,modernbert_professionalism,0.14592342006831202
commoncrawl,知识价值—结构丰富,25,0.033738191632928474,结构丰富高—知识价值低,1.0,0.46501783930804885,0.8209141325229234,0.3558962932148745,rps_doc_mean_word_length,0.9707318354513084,qurater,0.054110499830751495
commoncrawl,知识价值—语言表达,14,0.018893387314439947,语言表达高—知识价值低,1.0,0.5291332002113288,0.9140655984658977,0.38493239825456893,modernbert_professionalism,0.978620479418235,qurater,0.26247324511607184
github,语言表达—结构丰富,131,0.6064814814814815,结构丰富高—语言表达低,0.9007633587786259,0.5572465127110074,0.729351187833397,0.17210467512238975,rps_doc_mean_word_length,0.8956310821700894,fluency_en,0.10522577355692436
github,语言表达—洁净规范,67,0.3101851851851852,洁净规范高—语言表达低,0.9850746268656716,0.5713193763693388,0.6564831858219935,0.08516380945265468,rps_doc_frac_chars_top_3gram,0.9811773381024069,modernbert_professionalism,0.07540367974411515
github,知识价值—语言表达,15,0.06944444444444445,语言表达高—知识价值低,1.0,0.5449016426833355,0.8197079714445247,0.27480632876118916,modernbert_professionalism,0.9940676838344263,dsir_math,0.18627825716526641
github,知识价值—洁净规范,3,0.013888888888888888,洁净规范高—知识价值低,1.0,0.4862458682598298,0.5848227476981727,0.0985768794383428,rps_lines_uppercase_letter_fraction,0.9548654360359796,dsir_books,0.0
stackexchange,语言表达—结构丰富,122,0.8187919463087249,结构丰富高—语言表达低,0.9180327868852459,0.5268635487143191,0.7864650614690497,0.2596015127547306,rps_doc_mean_word_length,0.959265338438632,modernbert_readability,0.0532564713077628
stackexchange,语言表达—洁净规范,25,0.16778523489932887,洁净规范高—语言表达低,1.0,0.4989469798835094,0.7905438646857458,0.2915968848022363,rps_lines_numerical_chars_fraction,0.9878073406606418,modernbert_readability,0.06602650453575426
stackexchange,知识价值—语言表达,2,0.013422818791946308,语言表达高—知识价值低,1.0,0.5495251846413707,0.9021695186281244,0.35264433398675377,modernbert_professionalism,0.9976370712414586,fineweb_edu,0.25521630261467637
wikipedia,语言表达—结构丰富,999,0.9232902033271719,结构丰富高—语言表达低,1.0,0.5321977393393588,0.8021147397615012,0.26991700042214245,rps_doc_mean_word_length,0.9573922245919925,modernbert_professionalism,0.11779395897233284
wikipedia,语言表达—洁净规范,66,0.06099815157116451,洁净规范高—语言表达低,1.0,0.5245548111679695,0.7215490463877807,0.19699423521981116,ad_en,0.9898162152504378,modernbert_professionalism,0.06588569240488105
wikipedia,知识价值—结构丰富,12,0.011090573012939002,结构丰富高—知识价值低,1.0,0.4603038784708813,0.8333954409961103,0.37309156252522907,rps_doc_mean_word_length,0.9706835490468775,qurater,0.10970043806729647
wikipedia,知识价值—洁净规范,5,0.0046210720887245845,洁净规范高—知识价值低,1.0,0.4739885122546944,0.8467422612968803,0.37275374904218606,rps_doc_frac_chars_top_3gram,1.0,qurater,0.08822641788495723
