mixture_domain,quality_domain,mapping_type,note,quality_score,mapping_available
arxiv,arxiv,direct,配方域名与质量信号域名一致,0.7819042123798114,True
github,github,direct,配方域名与质量信号域名一致,0.5768577193890864,True
stackexchange,stackexchange,direct,配方域名与质量信号域名一致,0.7145557992598962,True
wikipedia_en,wikipedia,near_direct,名称略有差异，语义对应,0.6215107447610511,True
gutenberg_pg_19,book,near_direct,书籍类文本，可参考 book 域质量信号,0.5693637447993978,True
pile_cc,commoncrawl,near_direct,网页抓取类文本，可参考 commoncrawl 域质量信号,0.7067081635779496,True
dm_mathematics,(none),inferred,无同名质量域，需自行建立关联,,False
freelaw,(none),inferred,无同名质量域，需自行建立关联,,False
nih_exporter,(none),inferred,无同名质量域，需自行建立关联,,False
pubmed_central,(none),inferred,无同名质量域，需自行建立关联,,False
philpapers,(none),inferred,无同名质量域，需自行建立关联,,False
enron_emails,(none),inferred,无同名质量域，需自行建立关联,,False
ubuntu_irc,(none),inferred,无同名质量域，需自行建立关联,,False
europarl,(none),inferred,无同名质量域，需自行建立关联,,False
hackernews,(none),inferred,无同名质量域，需自行建立关联,,False
pubmed_abstracts,(none),inferred,无同名质量域，需自行建立关联,,False
uspto_backgrounds,(none),inferred,无同名质量域，需自行建立关联,,False
