budget_FLOPs,quality_cost,Q_B_observed_level,fixed_Q_loss,feasible
1e+19,exponential,0.4,3.3455930393524493,True
1e+19,exponential,0.6,3.3115892721992393,True
1e+19,exponential,0.8,inf,False
1e+19,exponential,0.9,inf,False
1e+19,exponential,1.0,inf,False
1e+19,power,0.4,3.3455930393524493,True
1e+19,power,0.6,3.4485458177917634,True
1e+19,power,0.8,inf,False
1e+19,power,0.9,inf,False
1e+19,power,1.0,inf,False
1e+19,logarithmic,0.4,3.3455930393524493,True
1e+19,logarithmic,0.6,inf,False
1e+19,logarithmic,0.8,inf,False
1e+19,logarithmic,0.9,inf,False
1e+19,logarithmic,1.0,inf,False
1e+21,exponential,0.4,2.5100883260272315,True
1e+21,exponential,0.6,2.456060350869781,True
1e+21,exponential,0.8,2.410629548594121,True
1e+21,exponential,0.9,2.3929507266174186,True
1e+21,exponential,1.0,2.3801550524200574,True
1e+21,power,0.4,2.5100883260272315,True
1e+21,power,0.6,2.4586001450278556,True
1e+21,power,0.8,2.4170795923619632,True
1e+21,power,0.9,2.400209118692439,True
1e+21,power,1.0,2.3857362077014104,True
1e+21,logarithmic,0.4,2.5100883260272315,True
1e+21,logarithmic,0.6,2.460033621460644,True
1e+21,logarithmic,0.8,2.411209741730039,True
1e+21,logarithmic,0.9,2.3875962051252606,True
1e+21,logarithmic,1.0,2.364590707347113,True
1e+22,exponential,0.4,2.2708415700667137,True
1e+22,exponential,0.6,2.2317258876460997,True
1e+22,exponential,0.8,2.1966590405813147,True
1e+22,exponential,0.9,2.181182032184844,True
1e+22,exponential,1.0,2.1676452416811185,True
1e+22,power,0.4,2.2708415700667137,True
1e+22,power,0.6,2.232365809917667,True
1e+22,power,0.8,2.198435535281635,True
1e+22,power,0.9,2.1832892356146205,True
1e+22,power,1.0,2.169368461947598,True
1e+22,logarithmic,0.4,2.2708415700667137,True
1e+22,logarithmic,0.6,2.2327385483652993,True
1e+22,logarithmic,0.8,2.1968155735159742,True
1e+22,logarithmic,0.9,2.179688849975524,True
1e+22,logarithmic,1.0,2.163115441456645,True
1e+24,exponential,0.4,2.2088112310716292,True
1e+24,exponential,0.6,2.173449005070746,True
1e+24,exponential,0.8,2.1405759228933134,True
1e+24,exponential,0.9,2.1250175651819525,True
1e+24,exponential,1.0,2.110016773935405,True
1e+24,power,0.4,2.2088112310716292,True
1e+24,power,0.6,2.173449005070746,True
1e+24,power,0.8,2.1405759228933134,True
1e+24,power,0.9,2.1250175651819525,True
1e+24,power,1.0,2.110016773935405,True
1e+24,logarithmic,0.4,2.2088112310716292,True
1e+24,logarithmic,0.6,2.173449005070746,True
1e+24,logarithmic,0.8,2.1405759228933134,True
1e+24,logarithmic,0.9,2.1250175651819525,True
1e+24,logarithmic,1.0,2.110016773935405,True
