increase_domain,decrease_domain,shift_share,delta_macro_loss_linearized,feasible_at_recommended_centroid
ubuntu_irc,ubuntu_irc,0.01,,False
ubuntu_irc,dm_mathematics,0.01,-0.0003008366478396296,True
ubuntu_irc,stackexchange,0.01,-0.005030585693149439,True
ubuntu_irc,pubmed_abstracts,0.01,-0.005805159414583898,True
ubuntu_irc,wikipedia_en,0.01,-0.006181847228596984,True
ubuntu_irc,gutenberg_pg_19,0.01,-0.006322840023714404,True
ubuntu_irc,arxiv,0.01,-0.0063173274542683835,True
ubuntu_irc,pubmed_central,0.01,-0.0063795636595871535,True
ubuntu_irc,github,0.01,-0.006380512935764066,True
ubuntu_irc,pile_cc,0.01,-0.0063856919655445685,True
ubuntu_irc,nih_exporter,0.01,-0.0064849768526906775,True
ubuntu_irc,uspto_backgrounds,0.01,-0.006466369273300698,True
ubuntu_irc,freelaw,0.01,-0.006652248366220573,True
ubuntu_irc,hackernews,0.01,-0.007167602934055106,True
ubuntu_irc,europarl,0.01,-0.007705519311441107,True
ubuntu_irc,philpapers,0.01,,False
ubuntu_irc,enron_emails,0.01,,False
dm_mathematics,ubuntu_irc,0.01,0.0003008366478396296,True
dm_mathematics,dm_mathematics,0.01,,False
dm_mathematics,stackexchange,0.01,-0.004729749045309809,True
dm_mathematics,pubmed_abstracts,0.01,-0.005504322766744269,True
dm_mathematics,wikipedia_en,0.01,-0.005881010580757354,True
dm_mathematics,gutenberg_pg_19,0.01,-0.006022003375874775,True
dm_mathematics,arxiv,0.01,-0.006016490806428754,True
dm_mathematics,pubmed_central,0.01,-0.006078727011747524,True
dm_mathematics,github,0.01,-0.006079676287924436,True
dm_mathematics,pile_cc,0.01,-0.006084855317704939,True
dm_mathematics,nih_exporter,0.01,-0.006184140204851048,True
dm_mathematics,uspto_backgrounds,0.01,-0.006165532625461068,True
dm_mathematics,freelaw,0.01,-0.006351411718380944,True
dm_mathematics,hackernews,0.01,-0.006866766286215478,True
dm_mathematics,europarl,0.01,-0.007404682663601478,True
dm_mathematics,philpapers,0.01,,False
dm_mathematics,enron_emails,0.01,,False
stackexchange,ubuntu_irc,0.01,0.005030585693149439,True
stackexchange,dm_mathematics,0.01,0.004729749045309809,True
stackexchange,stackexchange,0.01,,False
stackexchange,pubmed_abstracts,0.01,-0.00077457372143446,True
stackexchange,wikipedia_en,0.01,-0.0011512615354475452,True
stackexchange,gutenberg_pg_19,0.01,-0.0012922543305649659,True
stackexchange,arxiv,0.01,-0.0012867417611189453,True
stackexchange,pubmed_central,0.01,-0.0013489779664377153,True
stackexchange,github,0.01,-0.0013499272426146277,True
stackexchange,pile_cc,0.01,-0.0013551062723951306,True
stackexchange,nih_exporter,0.01,-0.0014543911595412385,True
stackexchange,uspto_backgrounds,0.01,-0.0014357835801512586,True
stackexchange,freelaw,0.01,-0.0016216626730711353,True
stackexchange,hackernews,0.01,-0.002137017240905669,True
stackexchange,europarl,0.01,-0.0026749336182916687,True
stackexchange,philpapers,0.01,,False
stackexchange,enron_emails,0.01,,False
pubmed_abstracts,ubuntu_irc,0.01,0.005805159414583898,True
pubmed_abstracts,dm_mathematics,0.01,0.005504322766744269,True
pubmed_abstracts,stackexchange,0.01,0.00077457372143446,True
pubmed_abstracts,pubmed_abstracts,0.01,,False
pubmed_abstracts,wikipedia_en,0.01,-0.00037668781401308535,True
pubmed_abstracts,gutenberg_pg_19,0.01,-0.000517680609130506,True
pubmed_abstracts,arxiv,0.01,-0.0005121680396844853,True
pubmed_abstracts,pubmed_central,0.01,-0.0005744042450032552,True
pubmed_abstracts,github,0.01,-0.0005753535211801679,True
pubmed_abstracts,pile_cc,0.01,-0.0005805325509606705,True
pubmed_abstracts,nih_exporter,0.01,-0.0006798174381067786,True
pubmed_abstracts,uspto_backgrounds,0.01,-0.0006612098587167989,True
pubmed_abstracts,freelaw,0.01,-0.0008470889516366755,True
pubmed_abstracts,hackernews,0.01,-0.0013624435194712087,True
pubmed_abstracts,europarl,0.01,-0.0019003598968572088,True
pubmed_abstracts,philpapers,0.01,,False
pubmed_abstracts,enron_emails,0.01,,False
wikipedia_en,ubuntu_irc,0.01,0.006181847228596984,True
wikipedia_en,dm_mathematics,0.01,0.005881010580757354,True
wikipedia_en,stackexchange,0.01,0.0011512615354475452,True
wikipedia_en,pubmed_abstracts,0.01,0.00037668781401308535,True
wikipedia_en,wikipedia_en,0.01,,False
wikipedia_en,gutenberg_pg_19,0.01,-0.00014099279511742066,True
wikipedia_en,arxiv,0.01,-0.00013548022567140002,True
wikipedia_en,pubmed_central,0.01,-0.00019771643099016995,True
wikipedia_en,github,0.01,-0.0001986657071670826,True
wikipedia_en,pile_cc,0.01,-0.00020384473694758516,True
wikipedia_en,nih_exporter,0.01,-0.00030312962409369325,True
wikipedia_en,uspto_backgrounds,0.01,-0.0002845220447037135,True
