domain,stratum,sampled_records,quality_score_median,raw_text_chars_median,alphabetic_fraction_median,url_count_total,html_tag_count_total,records_with_control_chars,records_with_replacement_chars
arxiv,high_q90,2,0.8417684074012235,27319.0,0.7435434381878379,2,0,0,0
arxiv,highest_conflict,1,0.6146089221984028,233317.0,0.5238495266097198,0,0,0,0
arxiv,low_q10,2,0.7018370482342231,132913.5,0.6233352684707951,0,0,0,0
arxiv,median_q50,2,0.7819193656694102,61848.0,0.7556898407096722,1,0,0,0
book,high_q90,2,0.6680201355065554,519727.5,0.7955044682900578,3,0,0,0
book,highest_conflict,1,0.4087173014697184,522145.0,0.7562592766377155,6,0,0,0
book,low_q10,2,0.45003049105470627,476386.5,0.7492961476393335,2,0,0,0
book,median_q50,2,0.5694614757076557,280146.5,0.7879973941633827,57,0,0,0
c4,high_q90,2,0.8007182854289778,1570.5,0.816378948030287,0,0,0,0
c4,highest_conflict,1,0.5715516720511749,783.0,0.80970625798212,0,0,0,0
c4,low_q10,2,0.5764143194395533,596.5,0.74343657623045,0,0,0,0
c4,median_q50,2,0.6849250993317438,890.5,0.8367874246144872,0,0,0,0
commoncrawl,high_q90,2,0.8077517708557301,3845.5,0.8010708259498736,0,0,0,0
commoncrawl,highest_conflict,1,0.58600060847625,2149.0,0.7854816193578409,0,0,0,0
commoncrawl,low_q10,2,0.5978329500490642,33005.0,0.7684299551798562,0,0,0,0
commoncrawl,median_q50,2,0.7067081635779496,1932.5,0.7922114082323173,1,0,0,0
github,high_q90,2,0.6799402972972145,2262.5,0.6312154696132597,2,11,0,0
github,highest_conflict,1,0.5037366054853013,434.0,0.6267281105990783,0,0,0,0
github,low_q10,2,0.469926521554079,234.5,0.7035549496644296,0,12,0,0
github,median_q50,2,0.5768577193890864,1598.0,0.5982884089785525,2,10,0,0
stackexchange,high_q90,2,0.7915421075919666,3846.0,0.598168794009964,0,7,0,0
stackexchange,highest_conflict,1,0.5547422896191117,518.0,0.7857142857142857,0,0,0,0
stackexchange,low_q10,2,0.6211018547518017,854.5,0.7270249747110723,1,0,0,0
stackexchange,median_q50,2,0.7145557992598962,5387.5,0.6419251319959014,2,48,0,0
wikipedia,high_q90,2,0.7376315590259452,3230.0,0.7603657355391111,0,0,0,0
wikipedia,highest_conflict,1,0.5194528682926426,879.0,0.6985210466439136,0,0,0,0
wikipedia,low_q10,2,0.5086548769705119,146.5,0.8102883976852291,0,0,0,0
wikipedia,median_q50,2,0.6215107447610511,918.5,0.819786076326774,0,0,0,0
