Model,submission,N_B,Y,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,Hub License,Epoch_AI_Open_Weights,type_group,family,namespace,license_permissive,strict_open,license_only_unverified,license_explicit_no,epoch_publication,publication_lag_days,t_month,logN
0-hero/Matter-0.2-7B-DPO,2024-08-05,7.242,8.906361301750291,33.02792147058693,10.055525080241036,1.4350453172205435,1.230425055928408,5.871874999999999,1.8173758865248213,apache-2.0,,posttrained,namespace:0-hero,0-hero,True,False,True,False,,,1.9055441478439425,0.8598585204809929
01-ai/Yi-1.5-34B,2024-06-12,34.389,25.6464941942931,28.411725333226947,42.74936268839652,15.332326283987916,15.436241610738255,11.217187500000003,40.732121749408975,apache-2.0,Yes,pretrained,yi,01-ai,True,True,False,False,2024-05-13,30.0,0.13141683778234087,1.5364195471277338
01-ai/Yi-1.5-34B-32K,2024-06-12,34.389,26.727912908508134,31.186917379220468,43.38184666762572,15.40785498489426,15.100671140939594,14.07786458333333,41.21232269503546,apache-2.0,Yes,pretrained,yi,01-ai,True,True,False,False,2024-05-13,30.0,0.13141683778234087,1.5364195471277338
01-ai/Yi-1.5-34B-Chat,2024-06-12,34.389,33.35799367075618,60.66758423205982,44.262825981005655,27.7190332326284,15.324384787472036,13.058072916666664,39.11606087470449,apache-2.0,Yes,posttrained,yi,01-ai,True,True,False,False,2024-05-13,30.0,0.13141683778234087,1.5364195471277338
01-ai/Yi-1.5-34B-Chat-16K,2024-07-15,34.389,29.403554842710225,45.6449997118756,44.53615654671034,21.37462235649547,11.74496644295302,13.73671875,39.38386524822696,apache-2.0,Yes,posttrained,yi,01-ai,True,True,False,False,2024-05-13,63.0,1.215605749486653,1.5364195471277338
01-ai/Yi-1.5-6B,2024-08-10,6.061,16.745698054972127,26.166017278598567,22.027904536694773,6.646525679758309,8.501118568232664,13.309114583333336,23.823507683215126,apache-2.0,,pretrained,yi,01-ai,True,False,True,False,,,2.0698151950718686,0.7825442840100101
01-ai/Yi-1.5-6B-Chat,2024-10-22,6.061,22.78400628982985,51.45270105542184,23.67872313235784,16.238670694864048,6.935123042505594,14.030468750000002,24.368351063829788,apache-2.0,,posttrained,yi,01-ai,True,False,True,False,,,4.468172484599589,0.7825442840100101
01-ai/Yi-1.5-9B,2024-06-12,8.829,22.153901514184795,29.35843561749492,30.50071699492122,11.404833836858003,17.225950782997764,12.030989583333332,32.402482269503544,apache-2.0,Yes,pretrained,yi,01-ai,True,True,False,False,2024-05-13,30.0,0.13141683778234087,0.9459115168192734
01-ai/Yi-1.5-9B-32K,2024-06-12,8.829,19.80978628587536,23.03111300238921,28.937011582169664,10.80060422960725,14.5413870246085,10.82682291666667,30.72177895981088,apache-2.0,Yes,pretrained,yi,01-ai,True,True,False,False,2024-05-13,30.0,0.13141683778234087,0.9459115168192734
01-ai/Yi-1.5-9B-Chat,2024-06-12,8.829,29.530872220260978,60.455258713546726,36.95293138417893,22.58308157099698,11.297539149888143,12.838281249999996,33.05814125295508,apache-2.0,Yes,posttrained,yi,01-ai,True,True,False,False,2024-05-13,30.0,0.13141683778234087,0.9459115168192734
01-ai/Yi-1.5-9B-Chat-16K,2024-06-12,8.829,23.76539234993476,42.14040966856828,31.49760894701832,17.82477341389728,7.829977628635347,10.03828125,33.261303191489354,apache-2.0,Yes,posttrained,yi,01-ai,True,True,False,False,2024-05-13,30.0,0.13141683778234087,0.9459115168192734
01-ai/Yi-34B,2024-06-12,34.389,22.373127018936653,30.45751938190668,35.542431259008794,5.13595166163142,15.548098434004473,9.648437500000004,37.90632387706855,apache-2.0,Yes,pretrained,yi,01-ai,True,True,False,False,2023-11-02,223.0,0.13141683778234087,1.5364195471277338
01-ai/Yi-34B-200K,2024-06-12,34.389,20.01347533597433,15.424850507763844,36.02211028900003,5.740181268882175,14.205816554809845,9.414843749999998,39.27304964539008,apache-2.0,Yes,pretrained,yi,01-ai,True,True,False,False,2023-11-02,223.0,0.13141683778234087,1.5364195471277338
01-ai/Yi-34B-Chat,2024-06-12,34.389,24.226662652803373,46.98887839820566,37.623987597243485,6.268882175226587,11.74496644295302,8.363802083333338,34.369459219858165,apache-2.0,Yes,posttrained,yi,01-ai,True,True,False,False,2023-11-02,223.0,0.13141683778234087,1.5364195471277338
01-ai/Yi-6B,2024-06-12,6.061,13.611617485376058,28.93378458046871,19.408504737915056,1.5861027190332326,2.572706935123044,7.044270833333335,22.12433510638298,apache-2.0,,pretrained,yi,01-ai,True,False,True,False,,,0.13141683778234087,0.7825442840100101
01-ai/Yi-6B-200K,2024-06-12,6.061,11.996098298832841,8.433068702154728,20.148020103768047,1.812688821752266,4.250559284116329,16.842447916666668,20.489804964539008,apache-2.0,,pretrained,yi,01-ai,True,False,True,False,,,0.13141683778234087,0.7825442840100101
01-ai/Yi-6B-Chat,2024-06-12,6.061,14.11765000523676,33.95213588833185,17.00016656742376,1.3595166163141994,5.92841163310962,3.5656250000000003,22.90004432624113,apache-2.0,,posttrained,yi,01-ai,True,False,True,False,,,0.13141683778234087,0.7825442840100101
01-ai/Yi-9B,2024-06-12,8.829,17.811867367746064,27.08779372066118,27.62695611207793,5.589123867069486,9.060402684563762,8.909114583333334,28.59781323877068,apache-2.0,,pretrained,yi,01-ai,True,False,True,False,,,0.13141683778234087,0.9459115168192734
01-ai/Yi-9B-200K,2024-06-12,8.829,17.72955178611439,23.270921155866432,26.49249509714754,6.646525679758309,8.7248322147651,12.109114583333332,29.1334219858156,apache-2.0,,pretrained,yi,01-ai,True,False,True,False,,,0.13141683778234087,0.9459115168192734
01-ai/Yi-Coder-9B-Chat,2024-09-12,8.829,16.985989314863886,48.17041006750976,25.94315294491389,4.003021148036254,0.0,7.963802083333333,15.83554964539007,apache-2.0,,posttrained,yi,01-ai,True,False,True,False,,,3.154004106776181,0.9459115168192734
1-800-LLMs/Qwen-2.5-14B-Hindi,2025-02-06,14.77,36.266177006668904,58.2570911847232,49.32988995210337,33.30815709969788,14.988814317673372,14.350520833333334,47.362588652482266,mit,,posttrained,qwen,1-800-llms,True,False,True,False,,,7.983572895277208,1.1693804953119495
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,2025-02-06,14.77,31.02077727563474,30.774677854758707,46.54015554088327,31.1178247734139,15.99552572706935,15.432812499999995,46.26366725768322,apache-2.0,,posttrained,qwen,1-800-llms,True,False,True,False,,,7.983572895277208,1.1693804953119495
1024m/PHI-4-Hindi,2025-02-06,14.66,27.48785095027712,0.816832670647216,52.46181381023763,23.338368580060425,19.686800894854585,21.519270833333326,47.10401891252955,mit,Yes,posttrained,phi,1024m,True,True,False,False,2024-12-12,56.0,7.983572895277208,1.1661339703051092
1024m/QWEN-14B-B100,2025-02-06,14.77,41.91906679224076,77.62104549262622,49.77664782103219,54.38066465256798,13.422818791946312,9.883333333333336,46.429890661938536,apache-2.0,Yes,posttrained,qwen,1024m,True,True,False,False,2023-09-28,497.0,7.983572895277208,1.1693804953119495
152334H/miqu-1-70b-sf,2024-06-26,68.977,29.097407726236643,51.81740005407873,43.807147003691966,12.462235649546828,13.422818791946312,17.209374999999998,35.865469858156025,,,posttrained,namespace:152334h,152334h,False,False,False,False,,,0.5913757700205339,1.83870430177712
1TuanPham/T-VisStar-7B-v0.1,2024-09-22,7.294,19.144808610895357,36.07040430502179,30.24383447882599,5.740181268882175,4.697986577181204,13.554166666666667,24.562278368794324,apache-2.0,,posttrained,namespace:1tuanpham,1tuanpham,True,False,True,False,,,3.482546201232033,0.8629657589777625
1TuanPham/T-VisStar-v0.1,2024-09-20,7.294,19.144808610895357,36.07040430502179,30.24383447882599,5.740181268882175,4.697986577181204,13.554166666666667,24.562278368794324,apache-2.0,,posttrained,namespace:1tuanpham,1tuanpham,True,False,True,False,,,3.4168377823408624,0.8629657589777625
3rd-Degree-Burn/L-3.1-Science-Writer-8B,2024-11-19,8.03,21.09120798437004,42.625012743963794,29.19930078641656,10.347432024169184,3.243847874720355,11.693489583333331,29.43816489361702,,,posttrained,namespace:3rd-degree-burn,3rd-degree-burn,False,False,False,False,,,5.388090349075975,0.9047155452786809
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,2024-10-10,8.03,11.223740793316347,22.13438121960841,8.618063681935197,26.586102719033235,0.8948545861297527,0.7812499999999996,8.32779255319149,apache-2.0,,merge,llama,3rd-degree-burn,True,False,True,False,,,4.073921971252567,0.9047155452786809
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,2024-11-10,8.03,8.037946007988568,28.92381104358657,6.515144725982737,8.836858006042297,0.7829977628635317,1.7578124999999991,1.4110520094562635,,,merge,llama,3rd-degree-burn,False,False,False,False,,,5.092402464065708,0.9047155452786809
3rd-Degree-Burn/Llama-Squared-8B,2024-10-08,8.03,12.434954194134717,27.55244972229241,21.277103190106818,5.740181268882175,2.9082774049217,1.9518229166666672,15.179890661938533,,,posttrained,llama,3rd-degree-burn,False,False,False,False,,,4.008213552361396,0.9047155452786809
4season/final_model_test_v2,2024-06-27,21.421,23.086235043644056,31.9113286080932,47.410670136906425,8.38368580060423,10.290827740492167,12.430989583333334,28.08990839243498,apache-2.0,,posttrained,namespace:4season,4season,True,False,True,False,,,0.6242299794661191,1.3308397412084711
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,2024-11-20,8.03,28.56857495894073,71.89579205397234,30.84806521622957,24.773413897280967,7.38255033557047,6.150000000000006,30.361628250591018,apache-2.0,,posttrained,llama,aalf,True,False,True,False,,,5.420944558521561,0.9047155452786809
AALF/FuseChat-Llama-3.1-8B-SFT-preview,2024-11-21,8.03,29.225292099823267,72.80504616639405,32.53678156315301,22.507552870090635,7.270693512304249,9.749999999999998,30.48167848699764,,,posttrained,llama,aalf,False,False,False,False,,,5.453798767967146,0.9047155452786809
AALF/gemma-2-27b-it-SimPO-37K,2024-09-05,27.227,9.512077380763676,24.065257959990603,15.307880971954305,1.283987915407855,4.026845637583895,1.5950520833333328,10.793439716312056,gemma,,posttrained,gemma,aalf,False,False,False,False,,,2.924024640657084,1.4349997913501735
AALF/gemma-2-27b-it-SimPO-37K-100steps,2024-09-21,27.227,10.246803363324455,25.67642743476199,15.261078322847055,2.114803625377644,5.145413870246088,0.7812499999999996,12.501846926713949,gemma,,posttrained,gemma,aalf,False,False,False,False,,,3.4496919917864477,1.4349997913501735
AELLM/gemma-2-aeria-infinity-9b,2024-10-09,9.242,31.919053815912523,75.93995044260342,42.0902142313775,21.45015105740181,11.185682326621922,9.046093750000004,31.80223108747045,,,merge,gemma,aellm,False,False,False,False,,,4.041067761806982,0.9657659641826862
AELLM/gemma-2-lyco-infinity-9b,2024-10-09,10.159,30.04985134020671,73.1647583966099,39.78753882674737,17.069486404833835,10.402684563758392,8.912760416666671,30.961879432624112,,,posttrained,gemma,aellm,False,False,False,False,,,4.041067761806982,1.006850960324272
AGI-0/Art-v0-3B,2025-01-19,3.086,12.132145545921874,31.9238509377341,8.029776912286984,24.62235649546828,1.230425055928408,5.002864583333332,1.9835992907801416,other,,posttrained,namespace:agi-0,agi-0,False,False,False,False,,,7.392197125256674,0.4893959217271294
