Model,Loss_Source,Loss_Comparability,Val_Loss,LB_Average,source_group_size
meta-llama/Meta-Llama-3-8B,"LLaMA 3 Technical Report (Meta, 2024), training loss at convergence","Medium (different validation set, approximate)",1.76,13.626857071686077,2
meta-llama/Llama-2-7b-hf,"LLaMA 2 paper (Touvron et al., 2023), training loss at convergence","Medium (different validation set, approximate)",1.75,8.806357596540016,1
meta-llama/Llama-3.1-8B,"LLaMA 3.1 Technical Report (Meta, 2024), training loss","Medium (different validation set, approximate)",1.76,14.42086519266696,1
Qwen/Qwen2-0.5B,"Qwen2 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",2.84,7.224121473565234,4
Qwen/Qwen2-1.5B,"Qwen2 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",2.63,10.445452935561454,4
Qwen/Qwen2-7B,"Qwen2 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",2.2,23.9251621404824,4
Qwen/Qwen2.5-0.5B,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",2.81,6.550067614297009,6
Qwen/Qwen2.5-1.5B,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",2.58,13.852701161320264,6
Qwen/Qwen2.5-7B,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",2.15,26.019159924095096,6
Qwen/Qwen2.5-14B,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",2.02,31.951062693148973,6
google/gemma-2-2b,"Gemma 2 Technical Report (Google, 2024), final loss","Medium (different validation set, approximate)",2.39,10.359615568466916,3
google/gemma-2-9b,"Gemma 2 Technical Report (Google, 2024), final loss","Medium (different validation set, approximate)",2.1,21.20528677610069,3
google/gemma-2-27b,"Gemma 2 Technical Report (Google, 2024), final loss","Medium (different validation set, approximate)",1.95,23.926167340782825,3
google/gemma-7b,"Gemma Technical Report (Google, 2024), final loss","Medium (different validation set, approximate)",2.24,15.442818570272308,3
microsoft/phi-2,"Phi-2 model card (Microsoft, 2023), training loss","Medium (different validation set, approximate)",2.39,15.5342915582149,1
microsoft/phi-1_5,"Phi-1.5 paper (Microsoft, 2023), training loss","Medium (different validation set, approximate)",2.32,7.170966845799231,1
microsoft/Phi-3-mini-4k-instruct,"Phi-3 Technical Report (Microsoft, 2024), training loss","Medium (different validation set, approximate)",2.15,27.56217404359228,3
meta-llama/Meta-Llama-3-70B,"LLaMA 3 Technical Report (Meta, 2024), training loss at convergence","Medium (different validation set, approximate)",1.71,26.705350171613343,2
meta-llama/Llama-2-13b-hf,"LLaMA 2 paper (Touvron et al., 2023), training loss","Medium (different validation set, approximate)",1.7,11.065185981273997,2
meta-llama/Llama-2-70b-hf,"LLaMA 2 paper (Touvron et al., 2023), training loss","Medium (different validation set, approximate)",1.65,18.372598605703004,2
mistralai/Mistral-7B-v0.1,"Mistral 7B technical report (Mistral AI, 2023), validation loss","Medium (different validation set, approximate)",2.1,14.575358924083137,1
mistralai/Mistral-7B-Instruct-v0.2,"Mistral 7B model card (Mistral AI, 2024)","Medium (different validation set, approximate)",2.1,18.50789159273764,1
mistralai/Mixtral-8x7B-v0.1,"Mixtral technical report (Mistral AI, 2023), validation loss","Medium (different validation set, approximate)",1.9,19.665108918316083,1
Qwen/Qwen2.5-32B,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",1.95,38.00796730514634,6
Qwen/Qwen2.5-72B,"Qwen2.5 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",1.85,38.441143572535815,6
Qwen/Qwen2-57B-A14B,"Qwen2 Technical Report (Alibaba, 2024), validation loss","Medium (different validation set, approximate)",1.9,25.0338731324107,4
01-ai/Yi-6B,"Yi Technical Report (01.AI, 2023), training loss","Medium (different validation set, approximate)",2.1,13.611617485376058,2
01-ai/Yi-34B,"Yi Technical Report (01.AI, 2023), training loss","Medium (different validation set, approximate)",1.9,22.373127018936653,2
tiiuae/falcon-7b,"Falcon technical report (TII, 2023), validation loss","Medium (different validation set, approximate)",2.25,5.17344472031948,2
tiiuae/falcon-40b,"Falcon technical report (TII, 2023), validation loss","Medium (different validation set, approximate)",2.05,11.40130446230009,2
google/gemma-1.1-2b-it,"Gemma Technical Report (Google, 2024), final loss","Medium (different validation set, approximate)",2.5,8.053373854341979,3
