domain,recommended_share,training_mean_share
arxiv,0.057682602479935,0.1130225258326927
freelaw,0.0786116976211951,0.0968248321520278
nih_exporter,0.0107686466740087,0.0058896802170959
pubmed_central,0.1039199304425759,0.1137541910505835
wikipedia_en,0.1114518234130044,0.0750777560798362
dm_mathematics,0.0306722047770307,0.0254628540970504
github,0.0440357898607204,0.1107006600705091
philpapers,0.0057878123417054,0.005487697351193
stackexchange,0.0854297688031685,0.0994324234441301
enron_emails,0.0028838667877129,0.0022110330434062
gutenberg_pg_19,0.0770874366601543,0.0469149442475353
pile_cc,0.1513276542875281,0.1194875977918856
ubuntu_irc,0.0402407196374428,0.0195999982840058
europarl,0.0150937820286088,0.0127370647540315
hackernews,0.0254967061951405,0.0116508223781086
pubmed_abstracts,0.0796189519021765,0.0661811661125716
uspto_backgrounds,0.079890606087891,0.0755647530933358
