domain,recommended_share,model_optimal_share,best_observed_share,training_mean_share,q_combined,mapping_type,mixture_domain,quality_domain,quality_score,mapping_available,quality_provenance,share_change,proxy_delta_contribution
arxiv,0.057682602479935,0.000152327613934,0.0,0.1130225258326927,0.7819042123798114,direct/near_direct,arxiv,arxiv,0.7819042123798114,True,A16_mapped_domain_score,-0.055339923352757704,-0.04327051918229715
freelaw,0.0786116976211951,0.0003331500019438,0.184630738522954,0.0968248321520278,0.4853282693446992,inferred,freelaw,(none),,False,loss_informed_inferred_proxy,-0.018213134530832703,-0.008839349061191215
nih_exporter,0.0107686466740087,0.0210210185581166,0.0029940119760479,0.0058896802170959,0.7649311678286095,inferred,nih_exporter,(none),,False,loss_informed_inferred_proxy,0.0048789664569127995,0.0037320735096829207
pubmed_central,0.1039199304425759,0.0014943855625005,0.0439121756487025,0.1137541910505835,0.591,inferred,pubmed_central,(none),,False,loss_informed_inferred_proxy,-0.0098342606080076,-0.0058120480193324916
wikipedia_en,0.1114518234130044,2.9336824555888725e-06,0.1357285429141716,0.0750777560798362,0.6215107447610511,direct/near_direct,wikipedia_en,wikipedia,0.6215107447610511,True,A16_mapped_domain_score,0.0363740673331682,0.022606873678225985
dm_mathematics,0.0306722047770307,9.893235163467145e-07,0.1317365269461078,0.0254628540970504,0.664163393617017,inferred,dm_mathematics,(none),,False,loss_informed_inferred_proxy,0.005209350679980303,0.003459860026156833
github,0.0440357898607204,0.0003795984114668,0.0159680638722554,0.1107006600705091,0.5768577193890864,direct/near_direct,github,github,0.5768577193890864,True,A16_mapped_domain_score,-0.0666648702097887,-0.038456144992588155
philpapers,0.0057878123417054,9.9999999680992e-07,0.0219560878243512,0.005487697351193,0.7840998281130898,inferred,philpapers,(none),,False,loss_informed_inferred_proxy,0.00030011499051240016,0.00023532011247493452
stackexchange,0.0854297688031685,0.1116468128690348,0.1047904191616766,0.0994324234441301,0.7145557992598962,direct/near_direct,stackexchange,stackexchange,0.7145557992598962,True,A16_mapped_domain_score,-0.014002654640961607,-0.010005678078732616
enron_emails,0.0028838667877129,1.03541352418535e-07,0.0,0.0022110330434062,0.7110000000000001,inferred,enron_emails,(none),,False,loss_informed_inferred_proxy,0.0006728337443066999,0.00047838479220206365
gutenberg_pg_19,0.0770874366601543,0.1822174962139231,0.0109780439121756,0.0469149442475353,0.5693637447993978,direct/near_direct,gutenberg_pg_19,book,0.5693637447993978,True,A16_mapped_domain_score,0.030172492412619004,0.01717912326998017
pile_cc,0.1513276542875281,0.3026387986816773,0.0518962075848303,0.1194875977918856,0.7067081635779496,direct/near_direct,pile_cc,commoncrawl,0.7067081635779496,True,A16_mapped_domain_score,0.03184005649564249,0.02250162785425367
ubuntu_irc,0.0402407196374428,0.0742514883258271,0.0079840319361277,0.0195999982840058,0.6035981763866233,inferred,ubuntu_irc,(none),,False,loss_informed_inferred_proxy,0.020640721353437003,0.01245870176823901
europarl,0.0150937820286088,9.9090546237053e-07,0.0,0.0127370647540315,0.6394412860324648,inferred,europarl,(none),,False,loss_informed_inferred_proxy,0.0023567172745772996,0.001506982324870634
hackernews,0.0254967061951405,0.0389313343791494,0.0738522954091816,0.0116508223781086,0.6266358553008886,inferred,hackernews,(none),,False,loss_informed_inferred_proxy,0.013845883817031899,0.008676327248082516
pubmed_abstracts,0.0796189519021765,9.765222281681223e-07,0.0768463073852295,0.0661811661125716,0.6006857684956972,inferred,pubmed_abstracts,(none),,False,loss_informed_inferred_proxy,0.013437785789604889,0.008071886683909372
uspto_backgrounds,0.079890606087891,0.2669265954074144,0.1367265469061876,0.0755647530933358,0.560571789415692,inferred,uspto_backgrounds,(none),,False,loss_informed_inferred_proxy,0.004325852994555207,0.002424951153907042
