domain,scale,N_over_N0,N0_params,kappa,effect_magnitude_1m,decay_weight,signed_kappa_warning
arxiv,train_1m,1.0,1000000,0.3027270378740842,0.1546727199866288,1.0,False
arxiv,test_60m,60.0,1000000,0.3027270378740842,0.1546727199866288,0.2895379792781128,False
arxiv,test_1B,1000.0,1000000,0.3027270378740842,0.1546727199866288,0.12354321143303806,False
freelaw,train_1m,1.0,1000000,0.0458638582432662,0.1315349000153673,1.0,False
freelaw,test_60m,60.0,1000000,0.0458638582432662,0.1315349000153673,0.8287950014195655,False
freelaw,test_1B,1000.0,1000000,0.0458638582432662,0.1315349000153673,0.72846455529592,False
pubmed_central,train_1m,1.0,1000000,0.2867780437301619,0.1339446437646083,1.0,False
pubmed_central,test_60m,60.0,1000000,0.2867780437301619,0.1339446437646083,0.30907598569672073,False
pubmed_central,test_1B,1000.0,1000000,0.2867780437301619,0.1339446437646083,0.13793226530113115,False
wikipedia_en,train_1m,1.0,1000000,0.0124424818801752,0.084542686600286,1.0,False
wikipedia_en,test_60m,60.0,1000000,0.0124424818801752,0.084542686600286,0.9503320700664624,False
wikipedia_en,test_1B,1000.0,1000000,0.0124424818801752,0.084542686600286,0.9176404608816703,False
dm_mathematics,train_1m,1.0,1000000,0.4476803865540203,0.3007407995883551,1.0,False
dm_mathematics,test_60m,60.0,1000000,0.4476803865540203,0.3007407995883551,0.15993980451784515,False
dm_mathematics,test_1B,1000.0,1000000,0.4476803865540203,0.3007407995883551,0.04538985969965717,False
github,train_1m,1.0,1000000,0.125827020054494,0.1663789060936439,1.0,False
github,test_60m,60.0,1000000,0.125827020054494,0.1663789060936439,0.5973935468360589,False
github,test_1B,1000.0,1000000,0.125827020054494,0.1663789060936439,0.41929428195490653,False
stackexchange,train_1m,1.0,1000000,0.1611146693597449,0.1208515895654178,1.0,False
stackexchange,test_60m,60.0,1000000,0.1611146693597449,0.1208515895654178,0.5170276261607644,False
stackexchange,test_1B,1000.0,1000000,0.1611146693597449,0.1208515895654178,0.3285912480486801,False
gutenberg_pg_19,train_1m,1.0,1000000,-0.0634418639435454,0.0649405710464512,1.0,True
gutenberg_pg_19,test_60m,60.0,1000000,-0.0634418639435454,0.0649405710464512,1.2966095908504762,True
gutenberg_pg_19,test_1B,1000.0,1000000,-0.0634418639435454,0.0649405710464512,1.5499782065848844,True
pile_cc,train_1m,1.0,1000000,-0.231858272796316,0.0443163393270511,1.0,True
pile_cc,test_60m,60.0,1000000,-0.231858272796316,0.0443163393270511,2.583920084600215,True
pile_cc,test_1B,1000.0,1000000,-0.231858272796316,0.0443163393270511,4.961063871130702,True
ubuntu_irc,train_1m,1.0,1000000,0.2302294643130599,0.2044703463210818,1.0,False
ubuntu_irc,test_60m,60.0,1000000,0.2302294643130599,0.2044703463210818,0.3895984228791225,False
ubuntu_irc,test_1B,1000.0,1000000,0.2302294643130599,0.2044703463210818,0.20385041834774015,False
hackernews,train_1m,1.0,1000000,-0.1492305730379518,0.055836754002318,1.0,True
hackernews,test_60m,60.0,1000000,-0.1492305730379518,0.055836754002318,1.8422753026858116,True
hackernews,test_1B,1000.0,1000000,-0.1492305730379518,0.055836754002318,2.803442927227499,True
pubmed_abstracts,train_1m,1.0,1000000,0.1502549240429467,0.0821990359807683,1.0,False
pubmed_abstracts,test_60m,60.0,1000000,0.1502549240429467,0.0821990359807683,0.5405352475328877,False
pubmed_abstracts,test_1B,1000.0,1000000,0.1502549240429467,0.0821990359807683,0.3541891293730615,False
uspto_backgrounds,train_1m,1.0,1000000,0.203555054128699,0.0836486383230888,1.0,False
uspto_backgrounds,test_60m,60.0,1000000,0.203555054128699,0.0836486383230888,0.4345585768475312,False
uspto_backgrounds,test_1B,1000.0,1000000,0.203555054128699,0.0836486383230888,0.2450952178336544,False
