domain,recommended_share,model_optimal_share,best_observed_share,training_mean_share
arxiv,0.05768260247993505,0.00015232761393407866,0.0,0.11302252583269279
freelaw,0.07861169762119516,0.0003331500019438135,0.18463073852295409,0.0968248321520278
nih_exporter,0.010768646674008758,0.021021018558116642,0.0029940119760479044,0.00588968021709595
pubmed_central,0.1039199304425759,0.0014943855625005012,0.04391217564870259,0.11375419105058357
wikipedia_en,0.11145182341300443,2.9336824555888725e-06,0.13572854291417166,0.07507775607983627
dm_mathematics,0.030672204777030733,9.893235163467145e-07,0.1317365269461078,0.0254628540970504
github,0.044035789860720445,0.00037959841146684956,0.015968063872255488,0.11070066007050916
philpapers,0.005787812341705481,9.999999968099201e-07,0.021956087824351295,0.005487697351193036
stackexchange,0.08542976880316853,0.11164681286903487,0.10479041916167664,0.09943242344413017
enron_emails,0.002883866787712942,1.03541352418535e-07,0.0,0.002211033043406226
gutenberg_pg_19,0.07708743666015438,0.1822174962139231,0.010978043912175647,0.04691494424753537
pile_cc,0.15132765428752817,0.30263879868167737,0.05189620758483034,0.11948759779188561
ubuntu_irc,0.040240719637442836,0.07425148832582719,0.007984031936127744,0.019599998284005892
europarl,0.015093782028608844,9.909054623705301e-07,0.0,0.012737064754031531
hackernews,0.02549670619514059,0.03893133437914948,0.07385229540918163,0.011650822378108678
pubmed_abstracts,0.07961895190217658,9.765222281681223e-07,0.07684630738522955,0.06618116611257162
uspto_backgrounds,0.07989060608789102,0.2669265954074144,0.13672654690618763,0.07556475309333588
